Date,How Much Did I Spend Today?,High,Low,Close,Adj Close,Volume,PercentChange
1/29/1993,43.9687,43.9687,43.75,43.9375,27.112253,1003200,
2/1/1993,43.9687,44.25,43.9687,44.25,27.305082,480500,0.007112376
2/2/1993,44.2187,44.375,44.125,44.3437,27.362904,201300,0.002117514
2/3/1993,44.4062,44.8437,44.375,44.8125,27.652185,529400,0.010571964
2/4/1993,44.9687,45.0937,44.4687,45,27.767893,531500,0.0041841
2/5/1993,44.9687,45.0625,44.7187,44.9687,27.748577,492100,-0.000695556
2/8/1993,44.9687,45.125,44.9062,44.9687,27.748577,596100,0
2/9/1993,44.8125,44.8125,44.5625,44.6562,27.555738,122100,-0.006949278
2/10/1993,44.6562,44.75,44.5312,44.7187,27.594305,379600,0.001399582
2/11/1993,44.7812,45.125,44.7812,44.9375,27.729336,19500,0.004892808
2/12/1993,44.875,44.875,44.5937,44.5937,27.517174,42500,-0.007650626
2/16/1993,44.4687,44.4687,43.4062,43.4687,26.822969,374800,-0.025227779
2/17/1993,43.4687,43.5312,43.2812,43.4375,26.803724,210900,-0.000717758
2/18/1993,43.9375,43.9375,42.8125,43.4062,26.784391,378100,-0.000720576
2/19/1993,43.4062,43.5625,43.3437,43.5625,26.880852,34900,0.003600868
2/22/1993,43.6875,43.7812,43.5625,43.7187,26.977249,513600,0.003585653
2/23/1993,43.8437,43.875,43.4687,43.6875,26.958002,373700,-0.000713653
2/24/1993,43.7187,44.25,43.7187,44.25,27.305082,26300,0.012875536
2/25/1993,44.2187,44.375,44.125,44.3437,27.362904,44500,0.002117514
2/26/1993,44.4375,44.4375,44.1875,44.4062,27.401474,66200,0.001409445
3/1/1993,44.5625,44.5625,44.2187,44.2812,27.324339,66500,-0.002814922
3/2/1993,44.3125,44.9375,44.25,44.9375,27.729336,182400,0.014821188
3/3/1993,45,45.1562,44.9375,45.125,27.845016,280100,0.004172462
3/4/1993,45.1875,45.1875,44.875,44.875,27.69075,89500,-0.005540166
3/5/1993,44.9375,45.125,44.7187,44.75,27.613615,40000,-0.002785515
3/8/1993,44.8437,45.75,44.8437,45.75,28.230696,50800,0.022346369
3/9/1993,45.6562,45.6875,45.5,45.5937,28.134245,169300,-0.003416393
3/10/1993,45.5937,45.6875,45.4062,45.6875,28.192129,194400,0.002057302
3/11/1993,45.7187,45.8437,45.5,45.5625,28.114969,70900,-0.002735978
3/12/1993,45.1875,45.2187,44.8125,45.0937,27.825703,643600,-0.010289163
3/15/1993,45.0625,45.3125,45.0625,45.3125,27.960714,310800,0.004852119
3/16/1993,45.3125,45.4375,45.3125,45.3125,27.960714,30800,0
3/17/1993,45.25,45.25,44.9687,45.0312,27.787138,21800,-0.006208
3/18/1993,45.2187,45.5,45.2187,45.3125,27.960714,59300,0.00624678
3/19/1993,45.2812,45.2812,45.0312,45.0312,27.918373,66900,-0.006208
3/22/1993,44.5937,44.875,44.5625,44.7812,27.763386,183400,-0.005551706
3/23/1993,44.9062,44.9375,44.8125,44.875,27.821552,55200,0.002094629
3/24/1993,44.8125,45.0625,44.5937,44.875,27.821552,37200,0
3/25/1993,44.9062,45.25,44.8437,45.1562,27.995863,110100,0.006266295
3/26/1993,45.125,45.1562,44.875,44.9062,27.840874,101500,-0.005536338
3/29/1993,44.9375,45.3125,44.9375,45.0937,27.957117,87100,0.00417537
3/30/1993,45.1562,45.2187,45.0937,45.2187,28.034615,56000,0.002772006
3/31/1993,45.3437,45.4687,45.1875,45.1875,28.01528,111600,-0.00068998
4/1/1993,45.25,45.25,44.9375,45.0312,27.918373,129500,-0.003458921
4/2/1993,44.6562,44.6562,44.0937,44.0937,27.337141,59400,-0.020818899
4/5/1993,44.4375,44.4375,44.1875,44.3125,27.472776,172200,0.00496216
4/6/1993,44.4062,44.4062,44.0625,44.1875,27.3953,129700,-0.002820874
4/7/1993,44.25,44.3437,44.1562,44.3437,27.492134,28000,0.003534936
4/8/1993,44.5312,44.5312,44.0937,44.2812,27.453384,180800,-0.001409445
4/12/1993,44.7187,44.9375,44.6562,44.9062,27.840874,348500,0.014114342
4/13/1993,44.875,45.1562,44.8437,45,27.899023,146100,0.002088798
4/14/1993,45.0312,45.0625,44.9062,44.9375,27.860279,119600,-0.001388889
4/15/1993,44.9062,45.0312,44.75,44.9375,27.860279,148600,0
4/16/1993,44.9687,45.0312,44.875,44.9375,27.860279,47900,0
4/19/1993,44.9375,45.0625,44.7187,44.75,27.744024,157000,-0.004172462
4/20/1993,44.6875,44.75,44.25,44.5312,27.608395,279500,-0.004889385
4/21/1993,44.625,44.625,44.375,44.5,27.589048,67900,-0.000700632
4/22/1993,44.3125,44.6875,43.9375,43.9375,27.240313,97700,-0.012640449
4/23/1993,43.8437,43.9687,43.6875,43.75,27.12406,106000,-0.004267425
4/26/1993,43.7812,43.9375,43.2812,43.4062,26.9109,62600,-0.007858286
4/27/1993,43.3437,43.875,43.3437,43.875,27.201553,156800,0.0108003
4/28/1993,43.8125,43.9062,43.7187,43.7812,27.143394,85900,-0.002137892
4/29/1993,43.875,43.9687,43.625,43.9687,27.259634,85000,0.00428266
4/30/1993,44.125,44.2812,44.0312,44.0312,27.298407,88500,0.001421466
5/3/1993,44.0937,44.3125,43.9062,44.3125,27.472776,80500,0.006388652
5/4/1993,44.4062,44.625,44.3437,44.4687,27.569628,149100,0.003524965
5/5/1993,44.4687,44.75,44.4687,44.5937,27.647141,109000,0.002810966
5/6/1993,44.5312,44.5625,44.4062,44.4375,27.550304,54700,-0.003502737
5/7/1993,44.4687,44.4687,44.2812,44.3437,27.492134,68000,-0.00211083
5/10/1993,44.4062,44.6875,44.4062,44.4375,27.550304,113900,0.002115295
5/11/1993,44.4375,44.625,44.3125,44.625,27.666542,42600,0.004219409
5/12/1993,44.4375,44.5937,44.4375,44.5625,27.627787,31000,-0.00140056
5/13/1993,44.375,44.375,44,44.0312,27.298407,129100,-0.011922581
5/14/1993,44.0312,44.1562,43.9687,44,27.279053,63500,-0.000708588
